,Unnamed: 0,btc_close,eth_close,doge_close,btc_volume,eth_volume,doge_volume,btc_friction_diff_0.25,btc_friction_diff_0.5,btc_friction_diff_0.75,btc_friction_diff_1.0,btc_friction_diff_1.25,btc_friction_diff_1.5,btc_friction_diff_1.75,btc_friction_diff_2.0,eth_friction_diff_0.25,eth_friction_diff_0.5,eth_friction_diff_0.75,eth_friction_diff_1.0,eth_friction_diff_1.25,eth_friction_diff_1.5,eth_friction_diff_1.75,eth_friction_diff_2.0,doge_friction_diff_0.25,doge_friction_diff_0.5,doge_friction_diff_0.75,doge_friction_diff_1.0,doge_friction_diff_1.25,doge_friction_diff_1.5,doge_friction_diff_1.75,doge_friction_diff_2.0,btc_close_15_min_future_percent_change,eth_close_15_min_future_percent_change,doge_close_15_min_future_percent_change,btc_close_10_min_future_percent_change,eth_close_10_min_future_percent_change,doge_close_10_min_future_percent_change,btc_close_5_min_future_percent_change,eth_close_5_min_future_percent_change,doge_close_5_min_future_percent_change,btc_close_15_min_past_percent_change,eth_close_15_min_past_percent_change,doge_close_15_min_past_percent_change,btc_close_10_min_past_percent_change,eth_close_10_min_past_percent_change,doge_close_10_min_past_percent_change,btc_close_5_min_past_percent_change,eth_close_5_min_past_percent_change,doge_close_5_min_past_percent_change,btc_volume_1_min_past_percent_change,eth_volume_1_min_past_percent_change,doge_volume_1_min_past_percent_change
Unnamed: 0,1.0,-0.675830820639537,-0.7918599658865139,-0.8240963398214876,0.031480475591892834,-0.04849460890433313,0.03269893743651454,-0.09528614195540568,-0.1296131399221508,-0.1314952063290919,-0.12826764813081715,-0.12287875154617829,-0.10518636258485496,-0.13112965491661216,-0.1284902355501442,0.3518575850147441,0.3330492774042265,0.3325620033647235,0.33529285087651106,0.33281986683332654,0.3332646622683481,0.3374217236649793,0.35899027463270133,0.3055047468674667,-0.18251909621068746,-0.038687029159987354,0.48014962007240525,0.6825448862639492,0.11377222669857674,0.12980177930739326,-0.13446066147037905,0.2633141871513271,0.26971544235685935,0.2888197925990018,0.21480442093900057,0.22408188594025036,0.24270631608737442,0.1582318902103896,0.16810808739312266,0.166071882232812,0.2633141871513271,0.26971544235685935,0.2888197925990018,0.21480442093900057,0.22408188594025036,0.24270631608737442,0.1582318902103896,0.16810808739312266,0.166071882232812,0.12304991309494415,-0.14222996874864052,-0.03891874033172232
btc_close,-0.675830820639537,1.0,0.9669677011734804,0.9372596497018982,-0.23843391622644322,-0.02096298867679617,-0.018315617188591704,-0.5667998087877549,-0.5353751815720021,-0.5339978492227837,-0.5377053777443879,-0.5422342664458066,-0.5619905416236878,-0.5347317215207357,-0.5365385004605308,-0.7182613297459556,-0.7040914461954024,-0.703649940710422,-0.705649635284587,-0.703405033459093,-0.7045300071524914,-0.7072577292818041,-0.731198337712357,-0.6737688884525598,-0.11152031370614347,-0.21590019830005278,-0.6458751269581376,-0.828393663708888,-0.4238760958681072,-0.45036288460021834,-0.13766622822331306,-0.31390975733088644,-0.40150078659888533,-0.3174093038322656,-0.24953876065622263,-0.3378755535656832,-0.26191718446799883,-0.17932223803438066,-0.245405800013437,-0.1762742275464744,0.11465641226802153,-0.02219368940169917,-0.014390222662919906,0.08584840688123693,-0.04412816346312932,-0.024190055720543894,0.053675216827739264,-0.04555240719452188,-0.014341566948054559,0.002112219248969113,0.10358329568361858,-0.03543063265190282
eth_close,-0.7918599658865139,0.9669677011734804,1.0,0.9777215969847719,-0.20539285169784044,-0.005643545431069105,-0.034964662336159684,-0.46269944068679025,-0.4305240803158501,-0.42890210890496183,-0.43247696662222995,-0.4375136213684526,-0.45530412446635127,-0.42961708216556105,-0.43176038741578693,-0.7511651860094591,-0.7362631411718613,-0.7358851190309587,-0.7379187120869491,-0.7357916443589566,-0.7367277537211512,-0.7395652609637045,-0.7615324291166641,-0.6208347942937744,-0.06525057909865811,-0.1977815454180146,-0.6744477269660838,-0.8299725963088301,-0.385836114228967,-0.43782812827775835,-0.10211677353895958,-0.2355595573712754,-0.34317409908826224,-0.2580197760150369,-0.17612248193455943,-0.2812924460172699,-0.2023469432806473,-0.124838783545019,-0.20719439786540214,-0.12914170518535376,0.07527964875844775,-0.0024018428717205165,-0.00815438716299308,0.06414162681852875,-0.01344293572991836,-0.012674613490325691,0.03739362474191705,-0.02054564588694052,-0.008761664981953068,-0.028728136191081256,0.10551818947136478,-0.028391143577346185
doge_close,-0.8240963398214876,0.9372596497018982,0.9777215969847719,1.0,-0.19219420030859863,-0.018521682226568727,-0.018004287673702185,-0.39697985025807536,-0.36377931807962893,-0.36200226894207127,-0.3654567094231613,-0.37076654005564974,-0.38826077202813536,-0.3627375241129071,-0.3651378803714263,-0.6785408047802919,-0.6622904969592205,-0.6619233363627774,-0.6640685473380817,-0.6619961235265246,-0.6625805524040969,-0.665622656861081,-0.6872624377256142,-0.627480281318418,-0.0717317494979686,-0.21680545126235723,-0.7203867341681792,-0.8249560324842435,-0.4000594673294585,-0.45677377670567737,-0.11039009662232593,-0.2190315822542882,-0.3037157749961774,-0.3100530916738792,-0.1734337165235085,-0.2541846828078595,-0.2549637493145292,-0.12958905470692467,-0.18843862681564905,-0.17866562071483078,-0.01821338672702193,-0.10218067178942711,-0.027845173678080103,-0.01395385796695217,-0.0990220729311143,-0.031016985435342325,-0.017766770486143717,-0.08615726226497597,-0.017188340773141273,-0.038662339658596334,0.11803598065127321,0.006394860366516722
btc_volume,0.031480475591892834,-0.23843391622644322,-0.20539285169784044,-0.19219420030859863,1.0,0.4124104118005366,0.09462695087173413,0.20198028888954608,0.19866204779479066,0.1986989190340022,0.19993982430735602,0.20031908899606146,0.20263986550330665,0.1989998170733802,0.19913649220458887,0.1955228390207121,0.19399176495406967,0.1938822452254186,0.19405855891359378,0.19372214276959987,0.19413645794604104,0.19423795091646048,0.20175923179195618,0.19246583190909447,0.09249948019653516,0.08606684858451584,0.15236207121056936,0.16768123444045382,0.1336225828508983,0.15328459602602024,0.08416620775863533,0.06191941757239332,0.10528019379269873,0.09149326361580344,0.1117176068017701,0.12778768166296345,0.10026155221044789,0.013032597945856202,0.010413923102388426,0.010400759420740544,-0.06724466730829008,-0.019938420496090854,-0.1195967308345147,-0.10008752971159629,-0.061351605344116676,-0.11540332800721814,-0.09904870704743836,-0.055297930525104344,-0.13184264215265945,0.2945216192762903,0.08099316882982024,0.20320870887138642
eth_volume,-0.04849460890433313,-0.02096298867679617,-0.005643545431069105,-0.018521682226568727,0.4124104118005366,1.0,0.1697215239466423,0.08689934780067939,0.08827149863757687,0.08835318273720061,0.0881964053101772,0.0882994102348282,0.08758073646952962,0.08839597616787283,0.08841677309188929,0.03979796272514311,0.039574022745340075,0.03955751554871227,0.03966656269947431,0.03960522855814393,0.03900764472088486,0.03943619246474439,0.037150883059888534,0.06742571779876343,0.06141297829294006,0.06517521839785512,0.08261227153968684,0.016740166412195782,0.06167449769640857,0.061869043989230425,0.06270683403426734,-0.04657437479586787,-0.049580638487798596,-0.03978506129719245,-0.0858445872381364,-0.11372532893878035,-0.09581283289096501,-0.10565901517886903,-0.126158385276164,-0.05232732895841039,-0.06903108748003971,-0.056098156893190504,-0.09013900690393617,-0.04951849691214252,-0.04200637203552191,-0.07227477910582743,-0.028991531369087643,-0.05330078559778728,-0.017634347941139078,0.011736783179264177,0.36006857091291716,-0.01066945147156189
doge_volume,0.03269893743651454,-0.018315617188591704,-0.034964662336159684,-0.018004287673702185,0.09462695087173413,0.1697215239466423,1.0,-0.0408936120266082,-0.041657511364140476,-0.04172595205411048,-0.04124114287768988,-0.040890255120786076,-0.04027236827181778,-0.04139278257436264,-0.041404155364891275,0.03923119991738166,0.03830179357719603,0.03826614228797539,0.038465159702385135,0.03823557370601426,0.03825130041033658,0.03870825711868046,0.04131519191873867,0.07669137502115288,0.1074928006831318,0.11072916465052818,0.0828115228199321,0.09883834988848537,0.09469595419275703,0.11533629760237674,0.11398085944929949,-0.005080694209600895,0.04715372450193405,0.0071446458970596885,-0.05675294148455484,0.003924164763357891,-0.083029884839095,-0.007283464393634206,0.06949538285269614,-0.012972849642475222,-0.11621747407188131,-0.1362040712271363,-0.07659177779020294,-0.12935080363243967,-0.147523925656071,-0.11703590985356889,-0.1848669564253405,-0.15803621269992124,-0.12094427743750504,0.13907385224563637,-0.05365116849286161,0.6820190385205308
btc_friction_diff_0.25,-0.09528614195540568,-0.5667998087877549,-0.46269944068679025,-0.39697985025807536,0.20198028888954608,0.08689934780067939,-0.0408936120266082,1.0,0.9991756454376595,0.999100099589375,0.9992436894491585,0.9994088716731967,0.9996924887402386,0.999113264603965,0.9992168645501774,0.7362164456318846,0.7395710408420968,0.7396325134510129,0.7392084560421623,0.7394940204609143,0.7396470966194609,0.7385726145387606,0.734555429863346,0.5460366670503302,0.3891193523830509,0.42621390565252587,0.4659525367619119,0.34941346220719605,0.4733782421266737,0.5443754495009969,0.39205675005067975,0.0173262683768032,0.12352007372316307,-0.03724958225069191,-0.03802483510586343,0.06723483338799209,-0.0641102900461859,-0.04509321609462701,0.02820231035345372,-0.06163453886443531,-0.5160819059090822,-0.3775727995686459,-0.38284437783205044,-0.44915994897707673,-0.31249915739129985,-0.34226925803905345,-0.3470299530334609,-0.2323662303748709,-0.2423906258994346,-0.09229721116942212,-0.04495042269077924,0.03396415398190279
btc_friction_diff_0.5,-0.1296131399221508,-0.5353751815720021,-0.4305240803158501,-0.36377931807962893,0.19866204779479066,0.08827149863757687,-0.041657511364140476,0.9991756454376595,1.0,0.9999962855083913,0.9999857006253084,0.9999425221459645,0.9991583725127388,0.9999934237606346,0.9999953309222135,0.7246782482584075,0.7288550571384723,0.7289503153704991,0.7284004287728839,0.7288103091567744,0.7289507015750445,0.7276730544832865,0.7224883096339588,0.5267458778672972,0.3924075879531284,0.4250536514833409,0.44436274407360743,0.31724009192205327,0.4640324972745097,0.5369242618924276,0.39365622550420537,0.005529483164317442,0.11181888579894023,-0.05247455691592847,-0.04864563911618003,0.05634457675765985,-0.07743914949525249,-0.053081718599853056,0.019734284445317864,-0.07109873827461216,-0.5249047545490784,-0.38837136344212514,-0.3968803420162815,-0.45794596252204056,-0.3227092137999895,-0.3550896866830543,-0.3550298666889987,-0.2413890570285952,-0.2517311153457551,-0.09401702642484551,-0.04200233595566549,0.03373159690956807
btc_friction_diff_0.75,-0.1314952063290919,-0.5339978492227837,-0.42890210890496183,-0.36200226894207127,0.1986989190340022,0.08835318273720061,-0.04172595205411048,0.999100099589375,0.9999962855083913,1.0,0.9999839168328628,0.9999318679794835,0.9991194192424827,0.9999962181480176,0.9999910455000891,0.7238478527396579,0.7280634345580389,0.7281595769793948,0.7276042101796091,0.7280182842678969,0.7281593660451846,0.7268717976770189,0.7216651327559073,0.5259951991281167,0.3927307016187296,0.4249389012256332,0.44321485389554366,0.3158473317318895,0.4636299339526454,0.5365585372763972,0.3938279099004197,0.00544230209062108,0.11179941359918504,-0.05265184508952377,-0.04866880712133504,0.056342402235154784,-0.07754802109712698,-0.05302054428742984,0.01976916438034725,-0.07112406854275213,-0.5251741055877357,-0.3885073666736292,-0.3969878233496135,-0.4582939029380403,-0.3229220917478167,-0.35532187086824096,-0.35545968079379126,-0.24169154501550547,-0.2519338699803849,-0.09421449257249247,-0.04163067984378105,0.03349603073265062
