Date,Price,Market Cap,Volume,Active Addresses,Daily Transactions,Twitter Followers,Weekly Commits Core,Weekly Commits Sub,Weekly Devs Core,Weekly Devs Sub,Total Value Locked,Price Bitcoin
2019-01-01,131.4587247,13677300455,1822123555,197884,439671,436712,3556,20191,360,1415,469319.8866,3692.531566
2019-01-02,138.1448022,14392313037,1831181165,236218,578127,436826,3556,20191,360,1415,482603.8444,3794.264254
2019-01-03,152.8604527,15922214147,2970382678,255779,584817,436888,3556,20191,360,1415,525659.7105,3872.172184
2019-01-04,146.7305994,15277722819,2147721864,224211,538193,436790,3556,20191,360,1415,274369595.8,3776.525808
2019-01-05,153.0565669,15940848170,2802750465,213003,502800,437378,3556,20191,360,1415,289219196.1,3815.26808
2019-01-06,153.6518715,16018302447,2751810037,220269,479857,437630,4915,30288,524,1959,297914550,3787.307857
2019-01-07,154.6993084,16115376657,2604841787,245758,542957,437832,4915,30288,524,1959,286775771.6,4013.520091
2019-01-08,149.8986976,15614190929,2288173707,240672,545830,437673,4915,30288,524,1959,285671600,3989.668718
2019-01-09,148.1478655,15452130779,2024950462,243712,550197,437646,4915,30288,524,1959,278833415.9,3973.591255
2019-01-10,148.7388799,15516781023,1895694765,237966,572499,437922,4915,30288,524,1959,106533345.1,3982.225913
2019-01-11,126.6247525,13229569872,2728309575,231569,531463,437948,4915,30288,524,1959,244945620.9,3623.847729
2019-01-12,124.6267971,12975985683,2081742757,185498,443918,438331,4915,30288,524,1959,279356784,3632.849306
2019-01-13,123.7593626,12909473759,1504750867,202896,472077,438519,5625,31554,545,1985,245943990.4,3598.436347
2019-01-14,114.7660458,11970884149,1642681383,269427,566505,438711,5625,31554,545,1985,178983589.8,3495.832311
2019-01-15,127.4052733,13312835356,2141032095,240364,530218,438753,5625,31554,545,1985,249861450.6,3648.048286
2019-01-16,119.8143732,12511274619,2179445233,212675,498105,439376,5625,31554,545,1985,251908974.9,3567.801243
2019-01-17,122.2455385,12790017531,2113608537,211920,506595,439580,5625,31554,545,1985,255135086.4,3597.647323
2019-01-18,121.9272667,12732832650,1953391667,214535,526778,439654,5625,31554,545,1985,266344794.5,3620.981281
2019-01-19,119.1707392,12441677744,1689783955,204211,527689,439852,5625,31554,545,1985,233276595,3597.793252
2019-01-20,122.9281758,12841756778,1843518995,192258,523726,439975,5357,30411,522,1917,240280208.7,3674.587271
2019-01-21,117.6078729,12288060354,1968418397,211194,570386,439996,5357,30411,522,1917,237042958.8,3539.167531
2019-01-22,115.8268643,12103985769,1719454581,203459,590300,440004,5357,30411,522,1917,229817477.9,3531.004183
2019-01-23,117.8171888,12313725372,1765861558,211544,514444,439808,5357,30411,522,1917,224120443.4,3571.266908
2019-01-24,116.4160197,12169120161,1599707092,206188,498228,439789,5357,30411,522,1917,231812607.2,3555.700003
2019-01-25,116.2454357,12153158418,1605735350,209120,494118,439744,5357,30411,522,1917,229758194.3,3565.642005
2019-01-26,115.1499061,12040473330,1612015659,180107,455814,439598,5357,30411,522,1917,230075244.4,3564.822417
2019-01-27,115.3371669,12061900817,1433112571,197651,479608,439758,5916,31825,521,1941,233508220.3,3563.614563
2019-01-28,112.5134892,11774157609,1753825292,237886,558718,439805,5916,31825,521,1941,228277863.9,3553.121681
2019-01-29,105.3523919,11010938397,2332780149,215410,555804,439646,5916,31825,521,1941,99859302.51,3432.215668
2019-01-30,104.5978463,10955187408,2555950268,203545,544580,439749,5916,31825,521,1941,207144962.7,3413.375483
2019-01-31,108.2730947,11329885766,2493952726,203631,505509,439523,5916,31825,521,1941,210835885.2,3457.882649
2019-02-01,106.3359958,11125649845,1980504564,200666,482071,439555,5916,31825,521,1941,216900713.2,3431.943638
2019-02-02,107.0095583,11200980015,2189489172,180095,441021,439542,5916,31825,521,1941,215408527.9,3464.490148
2019-02-03,108.7781769,11387807226,1859087082,165303,416053,439670,6049,32328,527,1914,218182999.8,3486.581616
2019-02-04,107.199997,11229439070,1970373516,162715,408210,439597,6049,32328,527,1914,218219556,3454.025844
2019-02-05,107.6182454,11267355155,1910734434,166131,403827,439699,6049,32328,527,1914,217561541.3,3464.003509
